shuf,num_sites,76,cumulative_targets,182,avg,2.39474,min,1,max,18,
sha384sum,num_sites,55,cumulative_targets,137,avg,2.49091,min,1,max,18,
split,num_sites,59,cumulative_targets,164,avg,2.77966,min,1,max,18,
du,num_sites,165,cumulative_targets,526,avg,3.18788,min,1,max,18,
join,num_sites,72,cumulative_targets,212,avg,2.94444,min,1,max,18,
readlink,num_sites,80,cumulative_targets,231,avg,2.8875,min,1,max,18,
sum,num_sites,55,cumulative_targets,139,avg,2.52727,min,1,max,18,
cp,num_sites,172,cumulative_targets,637,avg,3.70349,min,1,max,69,
date,num_sites,71,cumulative_targets,175,avg,2.46479,min,1,max,18,
dircolors,num_sites,48,cumulative_targets,132,avg,2.75,min,1,max,18,
fold,num_sites,44,cumulative_targets,117,avg,2.65909,min,1,max,18,
